h,k,hk,runs,avg_tokens,avg_runtime_s,avg_cost_usd,T_norm,runtime_norm,scenario,alpha,beta,gamma,success_rate,utility
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,time_sensitive,0.8,0.05,0.15,0.0428571428571428,0.0342857142857142
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,time_sensitive,0.8,0.05,0.15,0.238095238095238,0.0353697123847734
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,time_sensitive,0.8,0.05,0.15,0.2904761904761905,0.0770263779044562
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,time_sensitive,0.8,0.05,0.15,0.2523809523809524,0.0388404242940605
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,time_sensitive,0.8,0.05,0.15,0.2095238095238095,0.0090936474220223
2,2,h2/k2,210,897020.6333333333,351.1115380952381,0.1375664921428571,1.0,1.0,time_sensitive,0.8,0.05,0.15,0.2809523809523809,0.0247619047619047
2,5,h2/k5,210,883059.0238095238,304.7138904761905,0.1350000121428571,0.9821898733049969,0.8404833011650663,time_sensitive,0.8,0.05,0.15,0.2857142857142857,0.0533894397314188
2,10,h2/k10,210,884474.3952380952,306.79329047619046,0.1350145664285714,0.9839953918177696,0.8476323494590834,time_sensitive,0.8,0.05,0.15,0.2761904761904762,0.04460775894263
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,time_sensitive,0.8,0.05,0.15,0.0952380952380952,0.056821048548928
5,2,h5/k2,210,813980.819047619,304.36559047619045,0.1250395614285714,0.894070263844869,0.8392858338568012,time_sensitive,0.8,0.05,0.15,0.2666666666666666,0.0427369450625697
5,5,h5/k5,210,876820.4,317.8417666666666,0.1341116678571428,0.9742315730631372,0.8856173883457876,time_sensitive,0.8,0.05,0.15,0.3142857142857143,0.0698743845235464
5,10,h5/k10,210,884927.2047619048,307.0932619047619,0.1351529685714285,0.9845730182707944,0.8486636614864387,time_sensitive,0.8,0.05,0.15,0.2428571428571428,0.0177575141492087
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,time_sensitive,0.8,0.05,0.15,0.0904761904761904,0.0703836568427354
10,2,h10/k2,210,705463.2619047619,268.48401904761903,0.1083804821428571,0.7556398459155772,0.715923764505987,time_sensitive,0.8,0.05,0.15,0.238095238095238,0.0453056335045135
10,5,h10/k5,210,811797.2095238095,292.22658095238097,0.1241994078571428,0.8912847424330904,0.7975515040851132,time_sensitive,0.8,0.05,0.15,0.2523809523809524,0.0377077991703404
10,10,h10/k10,210,823853.4476190476,297.9932476190476,0.1259040457142857,0.9066642821326598,0.8173775012455916,time_sensitive,0.8,0.05,0.15,0.2904761904761905,0.0644411130874806
